building,building_uuid,device_instance,device_name,system,schedule_object,schedule_name,class,occupancy_tier,baseline_2026-09-04_Mon-Fri,baseline_Sat,baseline_Sun,start_modus_scan,fan_run_point,frikjoling_point,occupancy_proxy_bacnet,schedule_subdevice_uuid,fan_run_sensor_uuid,start_modus_sensor_uuid,occupancy_proxy_sensor_uuid,status
HG1,,1232,HG1_V360_002,360.002,schedule 1,Schedule 1,OCCUPANCY,A-extract-co2,Mo 06:59-17:00(=3) | Tu 07:00-17:00(=3) | We 07:00-17:00(=3) | Th 07:00-17:00(=3) | Fr 06:59-17:00(=3),off,off,3 (Auto),JV401_D,Frikjoling,RY501,,,,,TO BIND
P52,1f4976b1-5620-4e86-875d-8bbd90ca96e3,1233,P52_360.020,360.020,schedule 1,Schedule 1,OCCUPANCY,none,06:15-16:30,off,off,3 (Auto),JV401_drift,Frikjoling,,,,,,TO BIND
H1,,1238,H1_37003_004,,schedule 1,Schedule 1,EMPTY,none,off,off,off,,,,,,,,,TO BIND
P48,b0d50ca6-fe66-4cdd-ad9e-724f0aedecf8,1249,P48=360.001,360.001,schedule 1,Schedule 1,OCCUPANCY,none,Mo 06:55-18:00 | Tu 06:55-18:15 | We 06:55-18:00 | Th 06:55-18:00 | Fr 06:55-18:00,11:15-18:15,11:15-15:15,3 (Auto),JV401_drift,Frikjoling,,,,,,TO BIND
P48,b0d50ca6-fe66-4cdd-ad9e-724f0aedecf8,1250,P48=360.002,360.002,schedule 1,Schedule 1,OCCUPANCY,none,Mo 07:30-18:00 | Tu 07:30-18:00 | We 07:30-18:15 | Th 07:30-18:00 | Fr 07:30-18:00,11:20-18:15,11:20-15:15,3 (Auto),JV401_drift,Frikjoling,,,,,,TO BIND
P52,1f4976b1-5620-4e86-875d-8bbd90ca96e3,10118,P52_360_001,360.001,schedule 1,Schedule 1,OCCUPANCY,none,06:55-16:25,off,off,3 (Auto),Drift_Diode,Frikjoling,,,,,,TO BIND
P52,1f4976b1-5620-4e86-875d-8bbd90ca96e3,10121,P52_360_002,360.002,schedule 1,Schedule 1,OCCUPANCY,none,Mo 07:00-16:05 | Tu 07:00-16:00 | We 07:00-16:05 | Th 07:00-16:05 | Fr 07:00-16:05,off,off,3 (Auto),Drift_Diode,Frikjoling,,,,,,TO BIND
P52,1f4976b1-5620-4e86-875d-8bbd90ca96e3,10132,P52_360_003,360.003,schedule 1,Schedule 1,OCCUPANCY,none,06:00-18:00,off,off,3 (Auto),Drift_Diode,Frikjoling,"2 zone ctrls: RY601/RB601 (0 CO2, 0 presence)",,,,,TO BIND
V,,10192,V360_015,360.015,schedule 1,Schedule 1,OCCUPANCY,none,06:55-16:30,off,off,3 (Auto),JV401_D,Frikjoling,,,,,,TO BIND
V,,360020,V360.020,360.020,schedule 1,Schedule 1,OCCUPANCY,none,Mo 06:57-17:00 | Tu 06:57-17:01 | We 06:58-17:00 | Th 06:58-17:01 | Fr 06:57-17:00,off,off,3 (Auto),JV401_D,Frikjoling,,,,,,TO BIND
?,,1600001,30-61WG  - 1600001,,schedule 1,occ_scheduling,EMPTY,none,off,off,off,,,,,,,,,TO BIND
?,,1600002,30-61WG  - 1600002,,schedule 1,occ_scheduling,EMPTY,none,off,off,off,,,,,,,,,TO BIND
