group,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
room temperature,OU001-RT601 SpaceTemp,2fa0ca97-e4dc-4ebf-8bd0-19e52f676a31,Temperature,Celsius,23.925025939941406,2026-09-02T06:34:53,d1062339-227b-4e5b-a9a3-18ae8cd31702
room temperature,OU001-RT601 SpaceTemp,e2cef0c5-fa6a-46b9-a8e6-95cf93ed9303,Temperature,Celsius,22.31998634338379,2026-09-02T06:34:52,c0300733-c091-484e-9883-4eb1978e4a5b
room temperature,OU001-RT601 SpaceTemp,4458dbb4-dbc2-4f7a-92a5-5ec4e6c914ab,Temperature,Celsius,22.530685424804688,2026-09-02T06:34:53,c0300733-c091-484e-9883-4eb1978e4a5b
room temperature,OU001-RT601 SpaceTemp,556d79a8-24d7-4456-ae9a-85ef1566b80a,Temperature,Celsius,22.526029586791992,2026-09-02T06:34:52,7b214840-789c-414e-9775-d13920afc6b8
room temperature,OU001-RT601 SpaceTemp,2a3c47be-38a2-4540-9eae-690f819774f4,Temperature,Celsius,22.906612396240234,2026-09-02T06:34:54,8f1ce6ec-8b8a-4068-9fb3-d1c314238272
room temperature,OU001-RT601 SpaceTemp,356293e0-9221-460d-82b4-1b3645bd69a6,Temperature,Celsius,22.242626190185547,2026-09-02T06:34:52,aa748755-1afd-4cc8-ac61-81cdbb4a7a0d
room temperature,OU001-RT601 SpaceTemp,99fbdd66-3732-4fa8-a079-a9183f8061f2,Temperature,Celsius,23.528940200805664,2026-09-02T06:34:51,ab6c0b75-c380-4b56-b07c-ff20456e73e4
room temperature,OU001-RT601 SpaceTemp,b841e7a5-aac9-44d6-939c-0c71681b51f8,Temperature,Celsius,22.144428253173828,2026-09-02T06:34:54,faf8f05d-e0bf-4497-b096-cbd0adbdc1ee
room temperature,OU001-RT601 SpaceTemp,b9fb5001-4929-4ebf-b6a5-e60dccbef18d,Temperature,Celsius,23.98992919921875,2026-09-02T06:34:52,eb975959-5de6-4f22-867d-32cec546577e
room temperature,OU001-RT601 SpaceTemp,c8472cdb-f08e-48b4-9160-d2d627bcd8c7,Temperature,Celsius,22.381141662597656,2026-09-02T06:34:53,dba84f43-511e-4087-84e8-91b9a9dc27a0
room temperature,OU001-RT601 SpaceTemp,6ac81185-cfa4-41f1-b303-9d40ce5c96dc,Temperature,Celsius,23.3239688873291,2026-09-02T06:34:52,7fedbd71-acac-451c-b7fb-02834d6b8b1f
room temperature,OU001-RT602 SpaceTemp,4fdbc973-9413-4d63-ae58-cdc776ca5313,Temperature,Celsius,23.462636947631836,2026-09-02T06:34:52,7c34ab73-d420-4610-857b-ce5f322d34b2
room temperature,OU001-RT602 SpaceTemp,5ad343ba-0e3d-4fd3-8999-c279ba46c14b,Temperature,Celsius,21.29627227783203,2026-09-02T06:34:55,45732ea0-5a90-4bfa-bcb6-367e616b4a33
room temperature,OU001-RT602 SpaceTemp,3718bef1-41ca-4737-a2e7-970226b369ad,Temperature,Celsius,22.49917221069336,2026-09-02T06:34:54,faf8f05d-e0bf-4497-b096-cbd0adbdc1ee
room temperature,OU001-RT602 SpaceTemp,6c44ba46-b220-4396-9d58-c01cc9edb0d6,Temperature,Celsius,23.138517379760742,2026-09-02T06:34:52,eb975959-5de6-4f22-867d-32cec546577e
room temperature,OU001-RT603 SpaceTemp,ce84dca8-328a-4613-9e27-edc3b12bcd22,Temperature,Celsius,22.08574104309082,2026-09-02T06:34:54,45732ea0-5a90-4bfa-bcb6-367e616b4a33
presence,-OU001-RB601 Motion,2658236b-28aa-4944-95a8-e710a4bcb54d,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,45732ea0-5a90-4bfa-bcb6-367e616b4a33
presence,-OU001-RB602 Motion,1762086a-8701-420d-a481-800944a45d6a,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,45732ea0-5a90-4bfa-bcb6-367e616b4a33
presence,-OU001-RB603 Motion,f634cf95-1fd0-4bd4-b5f8-b48f3a6d3dbb,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,45732ea0-5a90-4bfa-bcb6-367e616b4a33
presence,OU001-RT601 Motion,6b6d0193-98c4-4b88-b57a-43c28ca41391,Presence,BooleanDetection,1.0,2026-09-02T06:34:51,d01ec8b5-d550-48d8-bc40-60d123ad1e70
presence,OU001-RT601 Motion,6064acf2-3f16-459e-b71d-d914d17ceb32,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,bc50b5aa-047e-4bbc-9e75-0b077f81f750
presence,OU001-RT601 Motion,1a864781-67ff-48bf-8076-cd8e42a87ddd,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,bc50b5aa-047e-4bbc-9e75-0b077f81f750
presence,OU001-RT601 Motion,a28a4abe-6ab9-4196-9287-b4d7d7403071,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,bc50b5aa-047e-4bbc-9e75-0b077f81f750
presence,OU001-RT601 Motion,a190d6a1-ee7f-4212-8290-3d64c4203282,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,4a2d0c79-49a7-42cd-b123-2bd34f19f004
presence,OU001-RT601 Motion,19331ec9-afbc-4cdf-a7a0-20e5f5a35303,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,fcad4793-5fef-4bdf-af45-d98f23ebd675
presence,OU001-RT601 Motion,70a29eb8-fbab-42ed-aba0-5b6747f76f9c,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,b81c6dcd-ad9d-4152-bb9a-c33957fde4e7
presence,OU001-RT601 Motion,d5a3b9a0-951f-4f29-9a08-5cda8d9c63d8,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,6153a184-cdc5-4f82-b350-6d844be24312
presence,OU001-RT601 Motion,62281be0-740b-4f6a-85a9-9329bd29f280,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,6153a184-cdc5-4f82-b350-6d844be24312
presence,OU001-RT601 Motion,88be5531-dba7-409b-8329-484182ac969c,Presence,BooleanDetection,0.0,2026-09-02T06:34:51,d7de2669-15eb-4f6c-a2d0-6ddd637a4c8e
presence,OU001-RT601 Motion,d85123d6-2c58-4cec-a7f5-ab3f993c022f,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,d7de2669-15eb-4f6c-a2d0-6ddd637a4c8e
presence,OU001-RT601 Motion,4a240e11-d844-4d45-a23b-7639fdc7851e,Presence,BooleanDetection,1.0,2026-09-02T06:34:51,acc0e1f0-96f9-41fc-949b-1756e75cdaf2
presence,OU001-RT601 Motion,cff582f4-c22b-41c9-8990-17be962ec390,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,40623e52-098e-4c07-bbb1-e32d90bd612e
presence,OU001-RT601 Motion,c67a6ab3-64a5-414b-839b-a85db608979b,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,40623e52-098e-4c07-bbb1-e32d90bd612e
presence,OU001-RT601 Motion,04809dcb-3f7c-404d-a140-1b6466b2c714,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,0bf4babf-210c-47c6-9103-81d245246bc9
presence,OU001-RT601 Motion,8b9a4f31-cef9-4232-9a64-0fc3afdb0b41,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,7ce29a10-da35-4391-9ba5-927286f51f06
presence,OU001-RT601 Motion,c61f4e58-fc6e-4303-a68a-ebc07bf73562,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,6a814b5a-de80-4360-957d-d35f0b1b28ce
presence,OU001-RT601 Motion,815a94df-15ca-4f6c-848d-6e49f79382c5,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,5b3ab8a1-f9b4-4c50-bc3f-8c3498ad98bb
presence,OU001-RT601 Motion,2401015f-ba47-411a-b908-7fffc51143e9,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,7c34ab73-d420-4610-857b-ce5f322d34b2
presence,OU001-RT601 Motion,e2dc7a2f-5890-4d5d-937d-a1337280794f,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,7c34ab73-d420-4610-857b-ce5f322d34b2
presence,OU001-RT601 Motion,cded52be-5959-41a3-87a6-0207fce7b99a,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,8b8f54cd-bd17-42de-9e3e-bbb4e9227bc8
presence,OU001-RT601 Motion,b01a47b6-6400-4735-ad7a-e8a2c605da57,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,6d7ef6fd-b2c6-458c-b008-b9c80e94cf22
presence,OU001-RT601 Motion,64b6a003-65df-4c3d-bbd8-ca12f5f04aee,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,bac45d14-54c2-4611-9cd4-5f8f8b1a37f0
presence,OU001-RT601 Motion,6388fc8e-fd3b-4274-8efb-3138abecc440,Presence,BooleanDetection,0.0,2026-09-02T06:34:53,f4319738-3bf9-41d1-8437-2a5aac98457e
presence,OU001-RT601 Motion,8a432eac-aeed-40a1-a886-fbc427062da0,Presence,BooleanDetection,0.0,2026-09-02T06:34:54,1e3772d6-80d1-429c-816a-c4179d810710
presence,OU001-RT601 Motion,b47ae127-6456-4a77-b791-35e893406a78,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,b39766a6-263b-4ee6-ae23-c710b56d558f
presence,OU001-RT601 Motion,39f9fc92-cedd-471e-a01a-f9d628f9f8a6,Presence,BooleanDetection,0.0,2026-09-02T06:34:52,b39766a6-263b-4ee6-ae23-c710b56d558f
