group,role,point_name,sensor_id,quantity_kind,unit,value_02_09,observed_utc,room_uuid
agent B,CPlt350 chiller state,C'CPlt350'KMIK002'ResetItf,594c4dba-5752-4c3d-9c27-c8a381178afd,State,Index,1.0,2026-09-02T06:35:39,
agent B,CPlt370 circuits,C'CPlt370'CPlt37000'SpC,8afb699a-4bd8-4be7-9686-f8d823c5be5c,Temperature,Celsius,13.0,2026-09-02T05:52:52,
agent B,CPlt370 circuits,C'CPlt370'CPlt37000'TFl401,41581dfc-c9ef-42ce-8b00-9580a1fd1d79,Temperature,Celsius,11.719999313354492,2026-09-02T06:35:35,
agent B,CPlt370 circuits,C'CPlt370'CPlt37000'TFl402,b1ff2f35-0571-46f8-9b51-9be0c1eb3828,Temperature,Celsius,10.09999942779541,2026-09-02T06:35:37,
agent B,CPlt370 circuits,C'CPlt370'CPlt37000'TRt501,ba3440d9-848c-4981-b8b1-9cbd2e665f54,Temperature,Celsius,13.09999942779541,2026-09-02T06:35:41,
agent B,CPlt370 circuits,C'CPlt370'CPlt37000'TRt502,89031103-4ebf-442d-8c36-cd8df63939aa,Temperature,Celsius,9.880000114440918,2026-09-02T06:35:37,
agent B,CPlt370 circuits,C'CPlt370'CPlt37010'SpC,afcb0b89-5bef-4de4-a1d2-ae12b263bc5b,Temperature,Celsius,12.0,2026-09-02T05:52:52,
agent B,CPlt370 circuits,C'CPlt370'CPlt37010'SpC1,1f44b74b-dd5f-4b99-9ce1-a7daf20f467e,Temperature,Celsius,13.0,2026-09-02T05:52:52,
agent B,CPlt370 circuits,C'CPlt370'CPlt37010'TFl401,232fd5a1-c035-4604-a939-6ac33d5f3981,Temperature,Celsius,24.35999870300293,2026-09-02T06:35:37,
agent B,CPlt370 circuits,C'CPlt370'CPlt37010'TFl402,495b5fc6-6191-41a6-b69d-8eed80bffb93,Temperature,Celsius,23.559999465942383,2026-09-02T06:35:35,
agent B,CPlt370 circuits,C'CPlt370'CPlt37010'TRt501,a68db83e-8c29-433f-a4e1-cbe1de199822,Temperature,Celsius,23.799999237060547,2026-09-02T06:35:38,
agent B,CPlt370 circuits,C'CPlt370'CPlt37010'TRt501BAC,6bcbd8e8-a83d-4604-af68-d8fb641a9b43,Temperature,Celsius,11.559999465942383,2026-09-02T06:35:40,
