block,area,littera,role,unit,quantityKind,sensor_id,value_2026_09_13,age_h,note
weekly,Rotation PLAN 8,LB81-5152C-VFD101/8006,setpoint — ÖPPET KONTOR 5152,degC,CapabilityTypeSetpoint,2c13ac55-c7d9-4adc-b345-3c29cefc79d1,22.5,0.3,
weekly,Rotation PLAN 9,LB91-6195-TD402/9070,room temp — MÖTE 6195,degC,Temperature,7299b3ee-1408-4832-b676-b391062b4ce0,22.4,0.3,
weekly,Rotation PLAN 9,LB91-6195-TD402/8006,setpoint — MÖTE 6195,degC,CapabilityTypeSetpoint,cb62cbcd-9712-404d-8811-017825b3967b,22.0,0.3,
weekly,Rotation PLAN 10,LB104-7027-TB15A6/9070,room temp — KOPIERING/FRD. 7027,degC,Temperature,a6b8fde8-4b5d-4b34-897b-920c89daedeb,23.0,0.3,
weekly,Rotation PLAN 10,LB104-7027-TB15A6/8006,setpoint — KOPIERING/FRD. 7027,degC,CapabilityTypeSetpoint,2fde45a8-0969-4a84-be07-018f49492de8,22.0,0.3,
weekly,Rotation PLAN 8,LB81-5152C-VFD102/9070,room temp — ÖPPET KONTOR 5152,degC,Temperature,720da3d5-9231-420e-b4a3-e3d8e22bfc6b,21.3,0.3,
weekly,Rotation PLAN 8,LB81-5152C-VFD102/8006,setpoint — ÖPPET KONTOR 5152,degC,CapabilityTypeSetpoint,084da736-f1ee-48f8-9f52-e34a50b43a0e,22.5,0.3,
weekly,Rotation PLAN 8,LB81-5150-HD102/9070,room temp — KONFERENS 5150,degC,Temperature,1ee49a26-0b90-40da-87a5-9757cd260e65,22.6,0.3,
weekly,Rotation PLAN 8,LB81-5150-HD102/8006,setpoint — KONFERENS 5150,degC,CapabilityTypeSetpoint,5587459c-0e52-4c5c-9522-b0741ee81e12,22.0,0.3,
weekly,Rotation PLAN 9,LB91-6189-TD401/9070,room temp — KOP/PRINT 6189,degC,Temperature,a6cd982b-81a1-40a4-b250-f74da6903748,20.9,0.3,
weekly,Rotation PLAN 9,LB91-6189-TD401/8006,setpoint — KOP/PRINT 6189,degC,CapabilityTypeSetpoint,66090e09-c919-4d5d-865c-4eb9a4de9eac,22.5,0.3,
weekly,Rotation PLAN 10,LB104-7007-TB15B1/9070,room temp — KONTOR 7007,degC,Temperature,8fe32257-42f7-42be-bbf0-6c557078b6c2,22.6,0.3,
weekly,Rotation PLAN 10,LB104-7007-TB15B1/8006,setpoint — KONTOR 7007,degC,CapabilityTypeSetpoint,6c4c61d5-6f63-4e3d-97a8-8b4abc881c72,22.0,0.3,
weekly,Rotation PLAN 9,LB91-6194-TD401/9070,room temp — MÖTE 6194,degC,Temperature,7a3919cf-66e1-46a6-a14f-01ce33db196b,21.4,0.3,
weekly,Rotation PLAN 9,LB91-6194-TD401/8006,setpoint — MÖTE 6194,degC,CapabilityTypeSetpoint,dbe7bf4a-eb4b-4124-ade6-18739593752d,21.0,0.3,
weekly,Rotation PLAN 8,LB82-5164-VFD101/9070,room temp — TELE 5164,degC,Temperature,6a166b5c-7c5c-47cf-a754-9a931033176c,23.3,0.3,
weekly,Rotation PLAN 8,LB82-5164-VFD101/8006,setpoint — TELE 5164,degC,CapabilityTypeSetpoint,78628ae5-b2c3-4530-a9a7-9d83ebddb7a4,19.0,0.3,
weekly,Rotation PLAN 9,LB91-6196-TD401/9070,room temp — MÖTE 6196,degC,Temperature,caa14b35-ec01-44ca-9c4d-f88469d5f9dc,21.7,0.3,
